clip,source,section,group,width,height,fps,stride,label_frames,visible,camera,motion_px,origin,note
grid_match1,grid,,grid_match1,1920,1080,59.940,2,137,130,fixed,0.9,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match1\Amateur Tennis TV -Wide Serve Deuce Side and finish  #Shorts.mp4,labels scaled from 1280x720
grid_match4,grid,,grid_match4,1920,1080,30.000,1,618,605,fixed,0.6,"C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match4\Amateur Tennis TV - Lob, Net, Smash #shorts.mp4",labels scaled from 1280x720; audit 2026-08-31: shifted +5 frames
grid_match7,grid,,grid_match7,1920,1080,60.000,2,400,376,moving,5.7,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match7\Nadal vs Dimitrov Rally.mp4,labels scaled from 1280x720
grid_match8,grid,,grid_match8,1920,1080,60.000,2,550,508,moving,11.0,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match8\Rafa Nadal vs Grigor Dimitrov Brilliant Highlight Reel   Acapulco 2020 copy.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +2 frames
grid_match16,grid,,grid_match16,1920,1080,59.983,2,458,444,fixed,0.6,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match16\Amature match rally gravel 2.mp4,labels scaled from 1280x720
grid_match17,grid,,grid_match17,1920,1080,59.940,2,389,382,fixed,1.4,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match17\amature match gravel cloudy 1.mp4,labels scaled from 1280x720
grid_match19,grid,,grid_match19,1920,1080,59.900,2,302,298,moving,2.8,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match19\amature match gravel cloudy 2.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +4 frames
grid_match21,grid,,grid_match21,1920,1080,29.936,1,525,495,fixed,1.2,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match21\Amature Night.mp4,labels scaled from 1280x720
grid_match22,grid,,grid_match22,1920,1080,30.000,1,733,623,fixed,0.9,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match22\Long Point Night.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +60 frames
grid_match23,grid,,grid_match23,1920,1080,29.968,1,565,535,fixed,0.7,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match23\Practice Amature.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +6 frames
grid_match24,grid,,grid_match24,1920,1080,58.991,2,624,612,fixed,1.9,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match24\Night amature.mp4,labels scaled from 1280x720
grid_match26,grid,,grid_match26,1920,1080,29.965,1,1146,984,moving,4.7,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match26\Low fov night.mp4,labels scaled from 1280x720
grid_match31,grid,,grid_match31,1920,1080,59.940,2,291,268,fixed,0.5,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match31\My Movie 2.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +8 frames
grid_match36,grid,,grid_match36,1920,1080,59.940,2,781,759,moving,10.6,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match36\My Movie 2.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +2 frames
grid_match37,grid,,grid_match37,1920,1080,59.940,2,215,201,fixed,0.8,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match37\My Movie 2.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +4 frames
grid_match38,grid,,grid_match38,1920,1080,59.940,2,683,647,moving,76.8,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match38\My Movie 2.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +20 frames
grid_match40,grid,,grid_match40,1920,1080,59.940,2,499,487,moving,33.7,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match40\My Movie 2.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +6 frames
grid_match42,grid,,grid_match42,1920,1080,59.940,2,451,445,fixed,0.4,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match42\My Movie 2.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +18 frames
grid_match43,grid,,grid_match43,1920,1080,59.940,2,582,568,moving,6.7,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match43\My Movie 2.mp4,labels scaled from 1280x720
grid_match44,grid,,grid_match44,1920,1080,59.940,2,630,595,fixed,0.3,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match44\My Movie 2.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +70 frames
grid_match47,grid,,grid_match47,1920,1080,29.996,1,242,232,fixed,0.4,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match47\gravel amature.mp4,labels scaled from 1280x720
grid_match49,grid,,grid_match49,1920,1080,60.000,2,702,607,fixed,1.1,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match49\gravel amature.mp4,labels scaled from 1280x720
grid_match50,grid,,grid_match50,1920,1080,29.970,1,490,461,fixed,0.5,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match50\gravel amature.mp4,labels scaled from 1280x720
grid_match53,grid,,grid_match53,1280,720,30.000,1,129,126,fixed,0.3,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match53\frames,rebuilt from the shipped 1280x720 PNGs; frames->ffmpeg
grid_match55,grid,,grid_match55,1920,1080,29.970,1,2728,2351,fixed,0.5,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match55\Indoor.mp4,labels scaled from 1280x720
grid_match73,grid,,grid_match73,1280,720,30.000,1,212,211,fixed,0.4,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match73\frames,rebuilt from the shipped 1280x720 PNGs; frames->ffmpeg
grid_match78,grid,,grid_match78,1280,720,30.000,1,126,126,fixed,0.3,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match78\frames,rebuilt from the shipped 1280x720 PNGs; frames->ffmpeg
grid_match85,grid,,grid_match85,1920,1080,59.923,2,475,468,moving,13.5,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match85\Amateur Tennis - Full Match Doubles - LK 19.6 15.9 vs LK 20.5 20.6.mp4,labels scaled from 1280x720
grid_match86,grid,,grid_match86,1920,1080,60.000,2,611,557,fixed,1.0,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match86\Amateur tennis highlight.mp4,labels scaled from 1280x720
grid_match87,grid,,grid_match87,1920,1080,29.997,1,688,618,fixed,1.5,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match87\DAY 588 Amateur Tennis Match   Preparing for first tournament of the year #tennis.mp4,labels scaled from 1280x720
grid_match89,grid,,grid_match89,1920,1080,60.000,2,302,293,moving,2.5,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match89\NTRP 4.0 Doubles - SwingVision Recording.mp4,labels scaled from 1280x720; audit 2026-08-31: shifted +18 frames
grid_match92,grid,,grid_match92,1920,1080,59.940,2,225,205,fixed,1.2,C:\Users\Andrew\Desktop\V5Test\archive\Match-Data-20260716T144245Z-1-001\Match-Data\match92\USTA 4.0 Doubles - 1st match played of the 2023 season.mp4,labels scaled from 1280x720; audit 2026-09-02: shifted +2 frames
video1,custom,archive,own-camera,1920,1080,60.087,2,345,327,fixed,0.4,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video1.mp4,
video2,custom,archive,own-camera,1920,1080,60.015,2,401,382,fixed,0.6,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video2.mp4,
video3,custom,archive,own-camera,1920,1080,60.069,2,434,406,fixed,0.8,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video3.mp4,
video4,custom,archive,own-camera,1920,1080,60.060,2,499,487,moving,3.0,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video4.mp4,
video5,custom,archive,own-camera,1920,1080,60.169,2,179,167,fixed,2.1,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video5.mp4,
video6,custom,archive,own-camera,1920,1080,60.003,2,478,453,fixed,0.5,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video6.mp4,
video7,custom,archive,own-camera,1920,1080,60.018,2,387,385,fixed,0.5,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video7.mp4,
video8,custom,archive,own-camera,1920,1080,30.059,1,513,500,fixed,0.7,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video8.mp4,
video9,custom,archive,own-camera,1920,1080,60.096,2,314,249,fixed,0.7,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video9.mp4,
video10,custom,archive,own-camera,1920,1080,30.130,1,226,215,fixed,0.3,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video10.mp4,
video11,custom-uncorrected,held-back,own-camera,768,432,30.000,1,300,245,fixed,0.5,C:\Users\Andrew\Desktop\V5Test\held_back_custom_768\sources\custom\video11,768x432 PNGs from the TrackNetV5 prep; labels never click-corrected; eval only; frames->ffmpeg
video12,custom,archive,own-camera,1280,720,30.000,1,330,273,fixed,0.4,C:\Users\Andrew\Desktop\gridtracknet_finetuning\archive\video12.mp4,
